run_id,date,role,started_utc,ended_utc,status,mode,orders_sent,decisions,web_searches,notes
20260916-test,2026-09-16,test,2026-09-16T14:46:52Z,2026-09-16T14:49:01Z,ok,normal,0,0,1,"test connessione: tutti gli endpoint Alpaca 200; coingecko 429 rate-limit; WebSearch e sotto-agenti OK; nessuna chiave nel repo; log in state/logs/test-2026-09-16.md"
20260917-cio,2026-09-17,cio,2026-09-17T12:40:24Z,2026-09-17T12:45:49Z,ok,normal,0,1,8,"Piano del giorno scritto (state/plans/2026-09-17.md). Post-FOMC (Fed +25bp a 3.75-4%, primo rialzo dal 2023): VIX in salita, ampiezza stretta, dispersione forte nei semi. 4 tesi: LEN short, NOK long, IWM short, CRDO vwap-reclaim long. Nessuna posizione crypto aperta da proteggere. Nessun ordine inviato (mandato CIO)."
20260917-trd,2026-09-17,trd,2026-09-17T13:20:59Z,2026-09-17T14:12:30Z,ok,normal,2,5,0,"ZERO trade eseguiti, conto flat, equity invariata 550.00. ANOMALIA STRUTTURALE: conto non abilitato allo short (HTTP 403 'account is not allowed to short'; /v2/account shorting_enabled=false, multiplier=1, conto cash): invalidate a priori T1 LEN e T3 IWM, meta' del piano del CIO. Nota: /v2/assets riporta shortable=true ma e' un flag dell'asset, non del conto. T1 LEN: tesi confermata dai dati (gap rifiutato, -5.1% dall'apertura sotto VWAP con volume), RESIZE a 4 dal Risk Officer, ordine respinto dall'API; put debit spread scartato (40-55 USD di debito = 7-10% equity, oltre il budget). T3 IWM: anche tesi contraddetta dai dati (+1.08% sulla giornata). T2 NOK: v1 REJECT del Risk Officer per EV negativo (prob 0.38 sotto la soglia di pareggio 0.40 a R:R 1.5) - probabilita' NON gonfiata per forzare l'approvazione; v2 APPROVE 30 azioni dopo rottura confermata con volume (R:R 2.083, prob di pareggio 32.4%), bracket inviato e verificato, poi ordine CANCELLATO non eseguito alle 14:11:41Z perche' la rottura e' fallita (-3% in 10 min, sotto VWAP e sotto il minimo del range) e il trigger 10.82 non e' mai stato raggiunto. T4 CRDO: setup materializzato ma scartato per vincolo di capitale (61% equity per 2 azioni) e spread IEX ~3%. Rischio effettivamente messo a mercato: zero su un budget di 27.50 USD."
20260917-pm,2026-09-17,pm,2026-09-17T15:31:04Z,2026-09-17T15:46:09Z,ok,normal,1,3,0,"Nessuna posizione da gestire (0 posizioni/ordini all'inizio, il trader aveva già azzerato tutto). NOK e CRDO rivalutate per una seconda ondata e scartate (NOK ancora sotto VWAP senza riconquista, CRDO in discesa continua senza base). Screener most-actives/movers: solo microcap/warrant, esclusi per policy. Nuovo trade: INTC long vwap-reclaim/pullback (catalizzatore analyst target $200 + Intel-Ohio/SK Hynix memory news), Risk Officer APPROVE 4 azioni, bracket inviato e RIEMPITO a 110.16 (entry 110.15/stop 109.35/target 111.75, R:R 2.0, rischio 0.582% equity). Verificato con GET dopo ~12 min: posizione integra, bracket attivo. Nessuna posizione crypto. Nessuna anomalia nuova oltre allo short disabilitato già segnalato dal Trader."
20260917-cls,2026-09-17,cls,2026-09-17T19:46:00Z,2026-09-17T19:46:30Z,ok,normal,0,0,0,"Parte A (chiusura): conto già flat, il bracket INTC si era stoppato automaticamente alle 15:37:46 ET, prima dell'inizio del turno. Nessuna cancellazione/chiusura necessaria. Verificato con GET (positions=[], orders open=[])."
20260917-coach,2026-09-17,cls,2026-09-17T19:46:30Z,2026-09-17T20:25:00Z,ok,normal,0,0,0,"Parte B (Coach), attesa bloccante fino alle 16:16 ET. 1 trade reale registrato (INTC vwap-reclaim -1.03R, voto B), 9 previsioni risolte (Brier medio 0.167), 4 shadow, equity.csv scritto (550.00->546.71, -0.60%, SPY +1.14%), risk-state.json allineato da init a valori reali (mode normal, dd 0.60%), playbook-stats.md aggiornato, lessons.md L01/L02 confermate una seconda volta (recidiva TIF day/gtc su INTC, nome setup non canonico). Nessuna posizione crypto. Anomalie: TIF gtc violato di nuovo (nessun danno), nome setup non canonico in decisions.jsonl (corretto in trades.csv)."
20260920-data,2026-09-20,data,2026-09-20T12:27:50Z,2026-09-20T12:43:05Z,ok,normal,0,1,0,"Scaricato storico futures Databento GLBX.MDP3 (MES/MNQ continui, ohlcv-1m 2024-09-01/2026-09-18, 641 giorni ciascuno; ohlcv-1s MES 3 mesi) per 17.94 USD stimati su budget 20. QC: 1 giorno feriale mancante (Venerdi Santo 2025-04-18, atteso), giorni <300 barre tutti spiegati (domeniche di riapertura/festivita a sessione ridotta), 13-18 salti di prezzo >1% alla riapertura (mix di roll trimestrali e gap di mercato reali, elencati nel log). Confronto proxy Alpaca SPY/QQQ vs futures su 504 giornate: correlazione rendimenti 1min 0.995 per entrambe le coppie, errore mediano range apertura 5min 0.7-0.9 tick (MES/SPY) e 3.5-4.1 tick (MNQ/QQQ), segnale di rottura discorde in 0.8% (MES) e 1.8% (MNQ) delle giornate. Proxy giudicato utilizzabile per sviluppo strategia. Nessun ordine inviato."
20260921-data,2026-09-21,data,2026-09-21T12:24:00Z,2026-09-21T12:40:39Z,ok,normal,0,1,0,"Tentativo scarico storico lungo ES.c.0/NQ.c.0 (contratti grandi, non micro) Databento GLBX.MDP3 ohlcv-1m dal 2010 al 2026-09-19, budget nominale 45 USD. Dataset range verificato: disponibile dal 2010-06-06. Stima ex-ante 40.37 USD per copertura completa (sotto budget), ma il credito REALE della chiave DATABENTO_API_KEY si e' esaurito dopo soli 2.03 USD (confermato da 4 richieste mensili consecutive ~0.09-0.11 USD respinte con 402 account_insufficient_funds), ben sotto il budget nominale assunto dal prompt. Salvati: ES 2010 (2010-06-07/2010-12-31, 178gg, 197791 barre), NQ 2010 (idem, 169823 barre), ES 2011 solo aprile (24gg, 27143 barre), NQ 2011 solo marzo (27gg, 26550 barre). Anomalia operativa: ~0.49 USD addebitati su ES/NQ gen-feb 2011 ed ES marzo 2011 durante l'esplorazione del vero credito residuo, scaricati ma non salvati su disco per errore di script; non riscaricabili perche' il credito si e' esaurito subito dopo. QC ok: unici giorni feriali mancanti sono festivita' note (2010-12-24, 2011-04-22). Nessun ordine di trading. Dettagli in state/logs/dati-2026-09-21.md."
20260921-data-b,2026-09-21,data,2026-09-21T16:57:46Z,2026-09-21T17:08:02Z,ok,normal,0,0,0,"Scaricato storico Alpaca SPY/QQQ 1Min feed=sip adjustment=all dal 2016-01-01 a ieri (2026-09-20, ultima seduta ven 2026-09-18): 22 file (11 anni x 2 simboli), SPY 2.148.675 barre, QQQ 2.072.626 barre, 47 MB totali. Nessun anno gia' presente, nessun 429, nessun blocco piano gratuito (ultimi 15min non toccati, ieri era domenica). QC: solo 2026 sotto 200 giornate (190, atteso: anno parziale fino al 18/09); tutti gli anni completi 2016-2025 sopra 250 giornate, scostamenti da 260-262 gg feriali teorici spiegati da festivita' NYSE + effetto sessioni estese UTC/ET (dettagli in state/logs/dati-2026-09-21b.md). Nessun ordine di trading, task separato dalla run Databento odierna (20260921-data)."
20260921-data-c,2026-09-21,data,2026-09-21T17:44:00Z,2026-09-21T17:54:51Z,ok,normal,0,0,0,"Scarico dedicato NQ.c.0 (contratto grande) Databento GLBX.MDP3 ohlcv-1m, un file per anno, dal 2010-06-06 al 2024-08-31, budget nominale 25 USD. Prova di credito su 1 giorno (2015-06-01, 0.0045 USD) riuscita senza 402 (credito disponibile, a differenza della run precedente dello stesso giorno). 2010/2011 gia' presenti su disco, saltati per regola. Scaricati con successo tutti gli anni 2012-2024 (2024 parziale fino al 2024-08-30, confine con mnq_1m.csv.gz gia' presente): 13 file, 4.106.865 barre, 43 MB, costo totale 15.4140 USD su 25 USD nominali, nessun 402. QC: giorni feriali mancanti quasi tutti festivita' note; anomalia segnalata su 2014 (5 giorni feriali mancanti in giugno/settembre non spiegati da festivita', con BentoWarning di Databento su qualita' dati degradata per quel periodo) - anno da considerare incompleto. 2011 resta parziale (solo marzo) fuori dallo scope di questa run. Nessun ordine di trading. Dettagli in state/logs/dati-2026-09-21c.md."
