forecast_id,ts,run_id,role,symbol,setup,question,prob,horizon,resolved_utc,outcome,brier
20260917-cio-T1,2026-09-17T12:45:31Z,20260917-cio,cio,LEN,orb-sip,"LEN rompe il minimo del range di apertura sotto VWAP e raggiunge un target ribassista (parziale gap fill) prima di invalidare sopra il massimo dei primi 5 minuti, entro EOD",0.45,EOD,,,
20260917-cio-T2,2026-09-17T12:45:31Z,20260917-cio,cio,NOK,gap-go,"NOK rompe il massimo pre-market/range con RVOL>=2 e tiene sopra VWAP fino a un'estensione 2R prima di perdere VWAP per piu' di 5 minuti, entro EOD",0.42,EOD,,,
20260917-cio-T3,2026-09-17T12:45:31Z,20260917-cio,cio,IWM,etf-noise,"IWM esce dalla banda inferiore di noise e resta sotto VWAP fino a un nuovo minimo di giornata prima di una riconquista di VWAP, entro EOD",0.40,EOD,,,
20260917-cio-T4,2026-09-17T12:45:31Z,20260917-cio,cio,CRDO,vwap-reclaim,"CRDO forma un pullback che riconquista VWAP con volume e estende al rialzo prima di rompere il minimo dello swing di pullback, entro EOD (condizionato al verificarsi del pullback)",0.38,EOD,,,
20260917-trd-T2,2026-09-17T14:03:43Z,20260917-trd,trader,NOK,gap-go,"NOK raggiunge il target 11.07 prima dello stop 10.70 entro le 15:50 ET (ingresso stop-buy a 10.82, R:R 2.083, prob di pareggio 32.43%)",0.40,EOD,,,
20260917-trd-T1,2026-09-17T13:42:30Z,20260917-trd,trader,LEN,orb-sip,"LEN (short non eseguibile: shorting_enabled=false) avrebbe raggiunto il target 75.03 prima dello stop 78.60 entro le 15:50 ET - previsione da valutare sul prezzo reale come trade virtuale",0.42,EOD,,,
20260917-trd-T3,2026-09-17T13:47:00Z,20260917-trd,trader,IWM,etf-noise,"IWM (short non eseguibile e tesi invalidata dai dati) avrebbe chiuso sotto il minimo di apertura 287.19 prima di una riconquista stabile di VWAP entro le 15:50 ET - trade virtuale",0.30,EOD,,,
20260917-trd-T4,2026-09-17T14:02:00Z,20260917-trd,trader,CRDO,vwap-reclaim,"CRDO (scartato per vincolo di capitale) dopo la riconquista di VWAP a 168.29 avrebbe raggiunto 172.80 prima di tornare sotto il minimo del pullback 165.48 entro le 15:50 ET - trade virtuale",0.38,EOD,,,
20260917-pm-T4,2026-09-17T15:33:00Z,20260917-pm,pos_manager,INTC,vwap-reclaim-pullback,"INTC raggiunge il target 111.75 prima dello stop 109.35 entro le 15:50 ET (ingresso stop-buy a 110.15, R:R 2.0, prob di pareggio 33.3%)",0.38,EOD,,,
20260917-cio-T1,2026-09-17T12:45:31Z,20260917-cls,coach,LEN,orb-sip,"LEN rompe il minimo del range di apertura sotto VWAP e raggiunge un target ribassista (parziale gap fill) prima di invalidare sopra il massimo dei primi 5 minuti, entro EOD",0.45,EOD,2026-09-17T20:16:00Z,1,0.3025
20260917-cio-T2,2026-09-17T12:45:31Z,20260917-cls,coach,NOK,gap-go,"NOK rompe il massimo pre-market/range con RVOL>=2 e tiene sopra VWAP fino a un'estensione 2R prima di perdere VWAP per piu' di 5 minuti, entro EOD",0.42,EOD,2026-09-17T20:16:00Z,0,0.1764
20260917-cio-T3,2026-09-17T12:45:31Z,20260917-cls,coach,IWM,etf-noise,"IWM esce dalla banda inferiore di noise e resta sotto VWAP fino a un nuovo minimo di giornata prima di una riconquista di VWAP, entro EOD",0.40,EOD,2026-09-17T20:16:00Z,0,0.16
20260917-cio-T4,2026-09-17T12:45:31Z,20260917-cls,coach,CRDO,vwap-reclaim,"CRDO forma un pullback che riconquista VWAP con volume e estende al rialzo prima di rompere il minimo dello swing di pullback, entro EOD (condizionato al verificarsi del pullback)",0.38,EOD,2026-09-17T20:16:00Z,0,0.1444
20260917-trd-T2,2026-09-17T14:03:43Z,20260917-cls,coach,NOK,gap-go,"NOK raggiunge il target 11.07 prima dello stop 10.70 entro le 15:50 ET (ingresso stop-buy a 10.82, R:R 2.083, prob di pareggio 32.43%)",0.40,EOD,2026-09-17T20:16:00Z,void,
20260917-trd-T1,2026-09-17T13:42:30Z,20260917-cls,coach,LEN,orb-sip,LEN (short non eseguibile: shorting_enabled=false) avrebbe raggiunto il target 75.03 prima dello stop 78.60 entro le 15:50 ET - previsione da valutare sul prezzo reale come trade virtuale,0.42,EOD,2026-09-17T20:16:00Z,0,0.1764
20260917-trd-T3,2026-09-17T13:47:00Z,20260917-cls,coach,IWM,etf-noise,IWM (short non eseguibile e tesi invalidata dai dati) avrebbe chiuso sotto il minimo di apertura 287.19 prima di una riconquista stabile di VWAP entro le 15:50 ET - trade virtuale,0.30,EOD,2026-09-17T20:16:00Z,0,0.09
20260917-trd-T4,2026-09-17T14:02:00Z,20260917-cls,coach,CRDO,vwap-reclaim,CRDO (scartato per vincolo di capitale) dopo la riconquista di VWAP a 168.29 avrebbe raggiunto 172.80 prima di tornare sotto il minimo del pullback 165.48 entro le 15:50 ET - trade virtuale,0.38,EOD,2026-09-17T20:16:00Z,0,0.1444
20260917-pm-T4,2026-09-17T15:33:00Z,20260917-cls,coach,INTC,vwap-reclaim-pullback,"INTC raggiunge il target 111.75 prima dello stop 109.35 entro le 15:50 ET (ingresso stop-buy a 110.15, R:R 2.0, prob di pareggio 33.3%)",0.38,EOD,2026-09-17T20:16:00Z,0,0.1444
